Node ID,Order
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
17,8
18,9
19,10
20,11
21,12
22,13
23,14
24,15
53,16
49,17
78,18
52,19
56,20
44,21
30,22
43,23
51,24
55,25
68,26
33,27
74,28
148,29
95,30
110,31
70,32
66,33
84,34
31,35
71,36
162,37
42,38
163,39
101,40
102,41
103,42
106,43
107,44
108,45
112,46
113,47
116,48
117,49
120,50
123,51
126,52
132,53
133,54
135,55
138,56
139,57
141,58
144,59
151,60
153,61
159,62
161,63
166,64
26,65
34,66
38,67
39,68
41,69
48,70
63,71
64,72
65,73
69,74
72,75
73,76
75,77
82,78
87,79
91,80
97,81
99,82
104,83
109,84
111,85
114,86
115,87
118,88
119,89
121,90
122,91
125,92
127,93
128,94
129,95
131,96
134,97
137,98
140,99
143,100
146,101
147,102
150,103
154,104
157,105
158,106
160,107
164,108
165,109
167,110
168,111
27,112
35,113
57,114
58,115
59,116
60,117
61,118
62,119
76,120
77,121
79,122
80,123
81,124
83,125
85,126
86,127
88,128
93,129
40,130
67,131
32,132
36,133
124,134
149,135
98,136
152,137
92,138
130,139
100,140
145,141
28,142
96,143
136,144
142,145
155,146
90,147
169,148
37,149
45,150
47,151
50,152
54,153
13,154
170,155
25,156
46,157
89,158
94,159
29,160
9,161
105,162
156,163
16,164
15,165
14,166
12,167
11,168
10,169
