Node ID,Order
1,0
10,1
11,2
12,3
13,4
14,5
15,6
16,7
17,8
18,9
2,10
3,11
4,12
5,13
6,14
61,15
7,16
8,17
9,18
20,19
29,20
31,21
32,22
33,23
34,24
35,25
36,26
37,27
38,28
21,29
22,30
23,31
24,32
25,33
176,34
26,35
27,36
28,37
139,38
266,39
260,40
254,41
162,42
87,43
105,44
112,45
121,46
129,47
137,48
145,49
146,50
157,51
171,52
185,53
198,54
45,55
88,56
96,57
97,58
98,59
62,60
109,61
193,62
142,63
42,64
77,65
132,66
168,67
127,68
181,69
118,70
72,71
52,72
155,73
95,74
85,75
189,76
60,77
187,78
80,79
81,80
67,81
107,82
79,83
106,84
90,85
159,86
122,87
164,88
174,89
186,90
48,91
147,92
100,93
101,94
102,95
103,96
104,97
108,98
110,99
111,100
113,101
114,102
115,103
116,104
117,105
119,106
120,107
123,108
124,109
125,110
126,111
128,112
130,113
131,114
133,115
134,116
135,117
136,118
138,119
140,120
141,121
143,122
144,123
149,124
150,125
151,126
152,127
153,128
154,129
156,130
158,131
160,132
161,133
163,134
165,135
166,136
167,137
169,138
170,139
172,140
173,141
175,142
177,143
178,144
179,145
180,146
182,147
183,148
184,149
188,150
190,151
191,152
192,153
194,154
195,155
196,156
197,157
199,158
200,159
201,160
202,161
203,162
204,163
205,164
206,165
207,166
208,167
209,168
210,169
211,170
212,171
213,172
214,173
215,174
216,175
217,176
218,177
219,178
220,179
221,180
222,181
223,182
224,183
225,184
226,185
227,186
228,187
229,188
230,189
231,190
232,191
233,192
234,193
236,194
237,195
238,196
239,197
240,198
241,199
242,200
244,201
245,202
246,203
247,204
248,205
250,206
251,207
252,208
253,209
256,210
257,211
258,212
259,213
262,214
263,215
264,216
265,217
267,218
268,219
269,220
270,221
271,222
272,223
273,224
274,225
275,226
276,227
277,228
278,229
279,230
280,231
281,232
282,233
283,234
284,235
285,236
286,237
287,238
288,239
289,240
290,241
291,242
292,243
293,244
39,245
40,246
41,247
43,248
44,249
46,250
47,251
49,252
50,253
51,254
53,255
54,256
55,257
56,258
57,259
58,260
59,261
63,262
64,263
65,264
66,265
68,266
69,267
70,268
71,269
73,270
74,271
75,272
76,273
78,274
82,275
83,276
84,277
86,278
89,279
91,280
92,281
93,282
94,283
99,284
148,285
255,286
261,287
243,288
249,289
235,290
30,291
19,292
