Node ID,Order
1,0
2,1
3,2
4,3
14,4
16,5
17,6
20,7
28,8
88,9
61,10
38,11
27,12
49,13
37,14
79,15
70,16
100,17
128,18
221,19
210,20
171,21
94,22
96,23
158,24
266,25
124,26
74,27
72,28
267,29
253,30
250,31
115,32
163,33
264,34
149,35
246,36
34,37
259,38
148,39
271,40
135,41
65,42
81,43
260,44
150,45
55,46
190,47
67,48
212,49
103,50
51,51
230,52
240,53
50,54
76,55
146,56
205,57
198,58
119,59
195,60
238,61
127,62
69,63
237,64
118,65
219,66
131,67
249,68
152,69
39,70
257,71
139,72
243,73
78,74
217,75
162,76
117,77
25,78
45,79
176,80
218,81
234,82
154,83
23,84
109,85
111,86
44,87
191,88
272,89
32,90
165,91
36,92
123,93
114,94
207,95
132,96
178,97
62,98
21,99
134,100
186,101
147,102
54,103
29,104
242,105
228,106
56,107
224,108
101,109
202,110
244,111
107,112
225,113
90,114
177,115
160,116
167,117
196,118
173,119
43,120
40,121
236,122
222,123
211,124
92,125
159,126
214,127
64,128
77,129
95,130
47,131
245,132
252,133
66,134
98,135
57,136
68,137
33,138
151,139
180,140
93,141
220,142
209,143
86,144
22,145
85,146
133,147
142,148
216,149
239,150
35,151
204,152
75,153
46,154
84,155
89,156
58,157
258,158
106,159
251,160
145,161
172,162
24,163
91,164
82,165
126,166
206,167
265,168
268,169
164,170
73,171
247,172
187,173
261,174
193,175
233,176
199,177
200,178
263,179
201,180
227,181
248,182
270,183
256,184
108,185
181,186
136,187
168,188
116,189
137,190
185,191
175,192
155,193
59,194
125,195
192,196
174,197
273,198
232,199
203,200
110,201
99,202
52,203
122,204
153,205
26,206
208,207
161,208
213,209
138,210
231,211
102,212
63,213
83,214
189,215
183,216
184,217
188,218
194,219
255,220
197,221
48,222
129,223
41,224
120,225
30,226
112,227
143,228
182,229
262,230
254,231
235,232
241,233
223,234
215,235
226,236
269,237
113,238
105,239
97,240
170,241
144,242
156,243
169,244
71,245
166,246
140,247
141,248
60,249
229,250
121,251
130,252
104,253
87,254
53,255
157,256
11,257
15,258
12,259
42,260
19,261
179,262
5,263
8,264
6,265
13,266
10,267
80,268
7,269
31,270
18,271
9,272
