Node ID,Order
1,0
134,1
146,2
17,3
122,4
123,5
132,6
171,7
158,8
172,9
173,10
176,11
188,12
189,13
190,14
192,15
2,16
18,17
205,18
210,19
22,20
145,21
177,22
13,23
191,24
24,25
248,26
242,27
25,28
251,29
26,30
273,31
277,32
133,33
291,34
3,35
19,36
35,37
36,38
38,39
4,40
20,41
104,42
46,43
47,44
48,45
194,46
49,47
50,48
51,49
39,50
58,51
115,52
150,53
160,54
164,55
175,56
195,57
59,58
60,59
61,60
180,61
52,62
243,63
249,64
62,65
63,66
15,67
64,68
7,69
70,70
55,71
71,72
72,73
117,74
73,75
139,76
80,77
81,78
147,79
16,80
10,81
86,82
9,83
90,84
257,85
263,86
290,87
283,88
112,89
105,90
135,91
23,92
106,93
178,94
199,95
284,96
91,97
167,98
197,99
28,100
40,101
250,102
244,103
83,104
94,105
101,106
179,107
238,108
234,109
157,110
116,111
126,112
211,113
206,114
221,115
216,116
69,117
57,118
108,119
118,120
151,121
166,122
181,123
196,124
53,125
65,126
89,127
215,128
220,129
198,130
268,131
275,132
138,133
264,134
258,135
142,136
102,137
272,138
265,139
278,140
271,141
187,142
152,143
165,144
182,145
184,146
230,147
225,148
255,149
261,150
168,151
183,152
240,153
236,154
113,155
262,156
256,157
266,158
282,159
289,160
31,161
253,162
259,163
45,164
33,165
67,166
286,167
279,168
29,169
41,170
252,171
246,172
76,173
88,174
78,175
128,176
224,177
226,178
229,179
154,180
231,181
103,182
114,183
120,184
124,185
185,186
228,187
223,188
233,189
237,190
169,191
74,192
276,193
269,194
95,195
100,196
203,197
208,198
21,199
110,200
144,201
136,202
148,203
149,204
159,205
163,206
170,207
155,208
174,209
193,210
241,211
247,212
127,213
137,214
217,215
212,216
109,217
119,218
235,219
239,220
125,221
140,222
153,223
111,224
201,225
143,226
161,227
200,228
232,229
227,230
245,231
27,232
14,233
30,234
32,235
42,236
54,237
66,238
209,239
204,240
186,241
75,242
207,243
202,244
130,245
77,246
8,247
84,248
292,249
285,250
68,251
85,252
280,253
287,254
56,255
213,256
218,257
87,258
92,259
288,260
281,261
131,262
121,263
93,264
260,265
254,266
96,267
44,268
219,269
214,270
156,271
222,272
97,273
107,274
82,275
129,276
270,277
98,278
11,279
5,280
99,281
274,282
267,283
79,284
141,285
34,286
37,287
162,288
12,289
43,290
6,291
